"","x"
"1196","IMPACT"
"1197","TAF4B"
"1198","B4GALT6"
"1199","MAPRE2"
"1200","ZNF24"
"1201","C18orf21"
"1202","TPGS2"
"1203","KIAA1328"
"1204","SLC14A1"
"1205","HDHD2"
"1206","IER3IP1"
"1207","TXNL1"
"1208","FECH"
"1209","NARS"
"1210","SEC11C"
"1211","PHLPP1"
"1212","BCL2"
"1213","RTTN"
"1214","CYB5A"
"1215","CNDP2"
"1216","ZNF407"
"1217","BSG"
"1218","MED16"
"1219","RPS15"
"1220","UQCR11"
"1221","MOB3A"
"1222","PLEKHJ1"
"1223","TIMM13"
"1224","NFIC"
"1225","MRPL54"
"1226","SEMA6B"
"1227","C19orf70"
"1228","PET100"
"1229","NDUFA7"
"1230","RAB11B-AS1"
"1231","UBL5"
"1232","FDX1L"
"1233","ILF3"
"1234","CARM1"
"1235","ELOF1"
"1236","ZNF441"
"1237","ZNF491"
"1238","TNPO2"
"1239","RNASEH2A"
"1240","GCDH"
"1241","CALR"
"1242","RAD23A"
"1243","NFIX"
"1244","C19orf53"
"1245","TECR"
"1246","NDUFB7"
"1247","ILVBL"
"1248","TPM4"
"1249","FAM32A"
"1250","SMIM7"
"1251","USE1"
"1252","ANKLE1"
"1253","DDA1"
"1254","PLVAP"
"1255","BISPR"
"1256","RPL18A"
"1257","MAST3"
"1258","UBA52"
"1259","ZNF101"
"1260","ZNF826P"
"1261","ZNF737"
"1262","ZNF85"
"1263","ZNF738"
"1264","DPY19L3"
"1265","PDCD5"
"1266","NUDT19"
"1267","SLC7A10"
"1268","GPI"
"1269","ZNF302"
"1270","CD22"
"1271","TMEM147"
"1272","COX6B1"
"1273","ZNF146"
"1274","PSMD8"
"1275","EIF3K"
"1276","ECH1"
"1277","GMFG"
"1278","RPS16"
"1279","FBL"
"1280","AKT2"
"1281","C19orf47"
"1282","BLVRB"
"1283","SNRPA"
"1284","ATP5SL"
"1285","RPS19"
"1286","CLPTM1"
"1287","SNRPD2"
"1288","CALM3"
"1289","AP2S1"
"1290","ZC3H4"
"1291","NAPA"
"1292","GLTSCR1"
"1293","C19orf68"
"1294","GRIN2D"
"1295","IZUMO1"
"1296","NUCB1"
"1297","PIH1D1"
"1298","RPL13A"
"1299","RPS11"
"1300","PRR12"
"1301","NUP62"
"1302","ETFB"
"1303","ZNF813"
"1304","MYADM"
"1305","RPS9"
"1306","RPL28"
"1307","SMIM17"
"1308","ZNF460"
"1309","ZNF548"
"1310","ZNF772"
"1311","ZNF587B"
"1312","RPS5"
"1313","CHMP2A"
"1314","TMEM18"
"1315","RNASEH1"
"1316","RPS7"
"1317","MBOAT2"
"1318","IAH1"
"1319","NOL10"
"1320","PDIA6"
"1321","DDX1"
"1322","GEN1"
"1323","LAPTM4A"
"1324","PUM2"
"1325","C2orf44"
"1326","CENPO"
"1327","ASXL2"
"1328","HADHA"
"1329","HADHB"
"1330","EPT1"
"1331","SLC35F6"
"1332","OST4"
"1333","ATRAID"
"1334","CAD"
"1335","MPV17"
"1336","GPN1"
"1337","MRPL33"
"1338","PPP1CB"
"1339","WDR43"
"1340","LCLAT1"
"1341","MEMO1"
"1342","SPAST"
"1343","TTC27"
"1344","LTBP1"
"1345","FAM98A"
"1346","EIF2AK2"
"1347","CEBPZOS"
"1348","CEBPZ"
"1349","CYP1B1"
"1350","ATL2"
"1351","DHX57"
"1352","THUMPD2"
"1353","SLC8A1-AS1"
"1354","LRPPRC"
"1355","PREPL"
"1356","SRBD1"
"1357","CALM2"
"1358","FBXO11"
"1359","PSME4"
"1360","RTN4"
"1361","RPS27A"
"1362","MTIF2"
"1363","CFAP36"
"1364","PPP4R3B"
"1365","PNPT1"
"1366","VRK2"
"1367","PAPOLG"
"1368","USP34"
"1369","EHBP1"
"1370","WDPCP"
"1371","MDH1"
"1372","AFTPH"
"1373","C1D"
"1374","PPP3R1"
"1375","FBXO48"
"1376","SNRNP27"
"1377","PCYOX1"
